nome,cpf,email,sexo,idade,nota ENEM,Abandono,semestre do abandono,CRA 2o semestre,CRA 4o semestre,CRA 6o semestre
Ana Luiza Pinto,602.491.857-76,ramoshelena@example.net,feminino,19,762.8264618962828,False,,6.060159986182576,6.124694680898946,9.966639361236311
Luiz Gustavo Viana,730.541.289-97,qrezende@example.org,masculino,24,689.5869075265526,False,,5.0480444660985775,6.94884551550167,5.828310637530788
Vicente Ribeiro,108.467.523-44,pereiraelisa@example.net,masculino,24,791.7874576091638,True,7.0,6.078028451086489,5.761774984554255,8.641340248160471
Sofia Rodrigues,506.839.471-84,beniciogoncalves@example.net,feminino,25,732.9387900725155,True,7.0,8.806693041037946,8.563480489949377,8.425147859350854
Dra. Eduarda da Cruz,267.814.950-11,isis08@example.org,feminino,28,686.5154801767643,True,1.0,,,
Dr. Cauã Castro,721.980.453-97,luiz-fernandoteixeira@example.org,masculino,25,774.3681224053055,False,,5.6675750787859815,6.562355204320703,5.183517348830774
Isis Farias,804.513.927-79,gustavoalmeida@example.net,feminino,19,713.9497666234896,True,6.0,7.621967893700484,7.043176623152096,9.746817756589216
Sofia Fernandes,948.625.107-01,souzalavinia@example.org,feminino,29,685.4605738802818,True,4.0,5.282820134778638,,
Sr. Davi Dias,825.641.309-33,luigida-cunha@example.org,masculino,25,739.6079666461192,True,4.0,8.988985173364936,,
Sra. Isabel Lopes,394.208.651-42,maria-luizafarias@example.com,feminino,28,777.6447360726775,False,,7.221165464970906,6.060121205330526,5.8113632529768395
Felipe Rezende,671.954.280-01,murilo59@example.net,masculino,24,766.9852155387123,False,,6.8526805010556995,8.67015601284227,8.679007373781984
Raquel Dias,967.052.431-80,hcarvalho@example.org,feminino,29,757.0241787203449,False,,5.871507522025908,5.748224233242505,7.8318322046314695
Ana Vitória das Neves,053.274.816-62,ipires@example.org,feminino,24,726.4321417566072,True,1.0,,,
Maria Fernanda da Costa,163.894.250-15,zazevedo@example.net,feminino,21,731.355066988754,False,,7.048386466446175,6.482749641390379,6.005582985579746
Mirella Ribeiro,618.074.392-40,alexandremonteiro@example.net,feminino,28,676.7316457736833,True,9.0,6.428848898458899,8.913733943457503,8.535600117782588
Sra. Cecília Carvalho,862.741.053-44,kamilly25@example.com,feminino,23,760.9813753725405,False,,6.9475700722837965,7.28197046324699,7.972250258241105
Noah Vieira,083.672.149-78,felipe21@example.org,masculino,22,708.6829995602616,True,6.0,5.715854481866955,5.178349926508972,9.462023321562238
João Guilherme Fernandes,052.739.814-41,moraesjuan@example.org,masculino,23,648.5464637094808,False,,9.765765378681104,8.429326152203604,6.333612374584629
Dr. Danilo Moura,269.035.741-07,oliveirasarah@example.com,masculino,26,725.5903883015349,True,3.0,7.22505048754091,,
Theo Martins,497.065.328-38,plopes@example.org,masculino,28,655.4399672341858,True,8.0,8.935498803706269,7.496569013259237,9.156219548066094
Isis Teixeira,201.584.679-49,mouraemilly@example.com,feminino,27,654.3093894703861,False,,5.821189730109009,7.113168009611572,5.661262008856286
Marcela Ramos,306.928.147-87,da-rosamaria-sophia@example.com,feminino,28,688.348499611488,True,8.0,7.5372030923113735,9.153968831817929,7.542030023151513
Bruna Freitas,186.247.093-69,das-nevesana-sophia@example.com,feminino,19,667.0589743178011,True,7.0,9.697472996938387,7.178127099308032,7.201217057953462
Sra. Melissa Moreira,053.192.468-89,lduarte@example.org,feminino,18,740.3800671650631,True,3.0,6.587700653265661,,
Alice Lopes,068.231.579-68,ymendes@example.net,feminino,23,754.5808387061376,False,,9.803055434276644,7.286110917516326,9.475394437892712
Camila Souza,469.358.027-92,pedro-henrique26@example.com,feminino,19,753.7540194545088,False,,5.7414948412030755,7.9349685590118355,5.989251657587329
Vitória Barros,027.945.813-41,melissacorreia@example.net,feminino,18,795.3274870797813,True,1.0,,,
Davi Lucca Rocha,423.789.056-29,danilo06@example.net,masculino,21,776.7554939472398,True,3.0,8.289329478747316,,
Enzo Rezende,052.749.381-32,alexandre84@example.org,masculino,23,658.9002358796968,True,3.0,6.555196105763525,,
Amanda Silva,025.719.834-23,nalmeida@example.net,feminino,27,774.6614478658015,False,,9.298730364892755,5.735348255523918,9.381615611391732
Esther da Paz,278.394.605-00,valentinanovaes@example.com,feminino,27,685.5025735607161,False,,5.971236822626193,7.719988723452378,5.0565443689985266
Dr. Nicolas Nunes,160.249.738-96,goncalvesyasmin@example.net,masculino,25,708.389069554118,False,,7.911212262911148,6.941370276733622,8.510231119727294
Kevin Sales,176.895.240-01,ana-lauralima@example.org,masculino,24,799.7216663805242,True,1.0,,,
Nicolas Barbosa,492.083.615-51,jesusgabriel@example.com,masculino,20,750.4690178731657,False,,8.61446543601393,9.754434555997452,6.587246500222607
Davi Luiz Cardoso,876.095.214-85,omelo@example.net,masculino,29,741.6129578569307,False,,9.656652561369038,7.90602849947307,9.901493785713399
Letícia Teixeira,541.038.976-00,limaemanuel@example.net,feminino,18,644.8384357946826,False,,9.405575794955976,8.316660093499184,6.385347285794438
Sophia Rodrigues,681.073.549-66,costaenrico@example.com,feminino,22,671.8132859609019,False,,7.098798157771473,7.792106631232965,6.989476645824441
Luigi Freitas,472.398.065-29,lfogaca@example.org,masculino,20,696.0034207484462,True,4.0,6.861450958870671,,
Daniela da Mota,805.639.417-66,joao-lucas94@example.net,feminino,23,798.817555316723,True,6.0,9.66851778140424,6.594222098928428,8.85641722869496
Maitê Lopes,213.657.980-03,rodriguescecilia@example.net,feminino,21,707.8969905450315,True,4.0,5.296242418358417,,
Ana Martins,035.978.164-01,vteixeira@example.com,feminino,28,653.7816517433248,False,,9.627919808962528,7.875777165770808,5.049817086769112
Alice Souza,048.591.276-76,duartemariana@example.com,feminino,27,688.3527339217474,True,6.0,5.327833327265536,8.159456957286146,5.141435995670961
Ana Julia da Cunha,604.198.253-98,pietrada-mata@example.net,feminino,23,700.7896100459849,True,7.0,9.262978301686704,5.555082278313747,7.597287434723278
Gustavo Henrique Correia,548.027.196-20,araujodaniel@example.net,masculino,19,682.2845817072994,True,2.0,,,
Leonardo Souza,041.739.562-07,thiagocastro@example.org,masculino,25,702.9769551725584,True,1.0,,,
Ana Beatriz Moreira,960.172.345-52,emanuelnovaes@example.com,feminino,20,642.5151336363936,False,,7.24026519314152,5.505271119380321,8.366538830967304
Beatriz Vieira,560.178.392-68,mda-conceicao@example.com,feminino,18,762.4403724167948,True,3.0,8.049259127765716,,
Pedro Miguel da Cruz,963.407.582-74,joao-pedro27@example.net,masculino,21,751.6782644062517,False,,6.849141109708103,5.566614857092892,9.214743306652526
Maitê Carvalho,634.790.521-34,mendesnoah@example.net,feminino,23,683.0977722612408,False,,7.896614514673115,9.839350205837473,8.403474563971326
Benício Melo,024.967.853-56,omendes@example.org,masculino,27,700.6210648019324,True,4.0,7.548893249919221,,
André Carvalho,319.647.850-57,lucca56@example.net,masculino,23,792.8697755519693,False,,6.489186329752865,6.9405962425033,8.980618920355722
