CPF,Nome,Idade,Sexo,Email,Nota do enem,Abandono,Semestre em que abandonou,CRA no segundo semestre,CRA no quarto semestre,CRA no sexto semestre
069.458.731-10,Emanuel Almeida,20,M,lrodrigues@example.org,671,False,,7.464430246245863,7.600821788668327,9.320825777653816
320.659.148-15,Gustavo Henrique Martins,28,M,jalmeida@example.net,698,False,,6.757025154576401,6.330754843099162,7.846825290971363
918.204.573-97,Lorenzo Rocha,20,M,vitor75@example.net,708,True,6.0,5.935954023941392,9.687424329986724,
518.403.297-50,Luiz Felipe da Rocha,26,M,clarice80@example.org,782,True,4.0,8.694965220173264,,
605.748.193-39,Vinicius Campos,26,M,isabelly97@example.org,701,True,6.0,7.503747506977035,8.22309098572992,
764.351.098-93,Sofia Nunes,23,F,nuneslucca@example.net,693,True,4.0,7.088158845580798,,
564.830.129-42,Camila Alves,22,F,cfogaca@example.org,669,True,5.0,9.321006635410482,8.716061765935498,
423.798.065-00,Vinicius das Neves,24,M,zbarros@example.net,687,False,,5.441653332783848,8.716412762021037,8.371800755768131
249.708.156-58,Helena Moura,23,F,caldeirajuan@example.org,742,False,,5.973104103972968,9.352836527929604,5.6737036618878935
285.940.376-00,João Miguel da Conceição,27,M,muriloda-cruz@example.net,777,False,,5.830646841514781,6.878553235501573,7.224215580506819
165.349.027-61,Dr. Breno Nogueira,18,M,luiz-gustavo13@example.net,663,False,,7.225558702851144,6.546567154764313,8.954899523058788
716.482.039-22,Dr. Augusto Porto,28,M,vlopes@example.org,695,False,,7.062261807229665,6.532578418537424,8.658775010768649
647.135.289-19,Laura Oliveira,18,F,theo72@example.net,771,True,1.0,,,
769.185.243-64,Pedro Nunes,21,M,santosrafael@example.com,798,False,,5.951128199375057,8.193380282680161,5.905334293490375
546.930.271-70,Ana Sophia da Mota,22,F,jribeiro@example.net,695,True,6.0,7.502841967744993,5.106550883327492,
502.739.684-83,Carolina Cardoso,18,F,cvieira@example.org,765,False,,5.132136911348192,5.795362322932144,6.3646196948212905
367.490.582-56,Elisa da Luz,18,F,ubarbosa@example.com,673,True,2.0,,,
472.853.601-71,Maria Julia Cardoso,24,F,dpires@example.com,717,True,7.0,6.55215862812981,5.852331146057407,5.036392126146842
385.190.472-97,Emanuella Lima,28,F,heloisada-conceicao@example.com,708,False,,7.158092103354971,8.096830970527156,9.479724221653612
284.093.716-69,Cauã Novaes,27,M,ana-julia76@example.org,788,True,3.0,5.154938363575531,,
524.931.860-60,Nicolas Peixoto,21,M,alexandrepires@example.org,686,False,,5.950595337972785,7.89197730763916,7.173217896888522
927.583.406-74,Laura Melo,24,F,nogueirasophie@example.net,705,True,8.0,6.78955601036712,6.167097942726784,9.74503633713969
150.689.327-95,Bernardo Freitas,26,M,ana-juliaazevedo@example.net,794,True,8.0,8.322126322961829,5.735041332007754,9.208904937910834
386.940.572-47,Felipe Cunha,20,M,uteixeira@example.com,794,False,,5.047964365047978,9.321072720977503,9.273715139325912
165.423.970-43,Murilo Castro,23,M,stellada-costa@example.com,800,False,,7.576708217320199,6.844531053478576,6.649902686002067
612.437.895-73,Danilo Dias,26,M,juan62@example.com,671,True,1.0,,,
648.107.953-57,Lorenzo Monteiro,25,M,emilly34@example.net,660,False,,8.978401761401104,7.121791969154721,8.182504172237321
812.457.369-73,Maitê Correia,23,F,davicavalcanti@example.net,665,False,,5.022049189518879,7.223552369516693,5.35818705604843
891.574.326-19,Eduardo Nogueira,26,M,joao-miguelda-mota@example.net,726,True,5.0,8.720593650046936,9.301436550747379,
160.984.732-69,Danilo Oliveira,22,M,diego02@example.net,764,False,,5.968653511520918,8.649452892091919,9.059807374746295
430.725.681-62,Vicente Lopes,22,M,salesvitor@example.com,679,True,2.0,,,
532.709.164-34,Bruno Ramos,22,M,joana47@example.org,727,False,,5.54589199278176,7.833828456097695,9.916981641358504
031.789.426-96,Maria Fernanda Peixoto,19,F,caraujo@example.net,662,False,,7.5739928746752625,7.853854620851157,6.288396013065897
548.039.721-41,Vitor Gabriel Fogaça,26,M,pedro-miguel45@example.com,726,True,4.0,7.300610248477058,,
308.491.725-60,Larissa Barros,25,F,dsilva@example.net,645,False,,5.703732339499342,7.759679364285818,8.950298503153938
947.025.186-58,Sr. Leonardo Martins,24,M,nnogueira@example.com,641,True,4.0,7.654685054027205,,
265.817.094-76,Luiz Gustavo da Costa,25,M,henrique11@example.org,792,False,,7.972052341236264,9.455621465782626,8.968462547706904
051.826.379-77,Mirella Azevedo,28,F,lorenzonunes@example.org,790,True,1.0,,,
367.041.589-01,Ana Beatriz Monteiro,23,F,lavinia13@example.com,676,True,1.0,,,
312.067.945-34,Maria Vitória da Paz,28,F,rezendealana@example.net,799,True,3.0,5.03934642052407,,
623.908.417-40,Nathan Cavalcanti,23,M,gabrielsales@example.org,789,False,,9.988091028546101,6.073024470754035,7.02831326315815
694.381.720-50,Luigi Almeida,24,M,amanda30@example.org,732,False,,8.183955237530013,8.845601491836197,8.219687584568002
485.093.627-00,Enzo Gabriel Barros,21,M,luigi59@example.net,795,True,1.0,,,
089.726.415-02,João Vitor Santos,25,M,benicio62@example.net,724,True,6.0,5.7461941309732385,8.991188409567512,
584.916.703-00,Srta. Alana Fernandes,24,F,eduarda96@example.com,749,False,,6.974046866956822,8.302559105228593,5.244653930135074
249.106.738-22,Eduarda Moreira,23,F,fernanda20@example.net,688,True,7.0,6.977149079386808,7.636170554858554,9.272596643458517
387.604.259-38,Ana Julia da Luz,22,F,miguelda-cunha@example.org,759,True,1.0,,,
635.047.198-93,Guilherme da Rosa,27,M,mnovaes@example.org,680,False,,8.802053484925995,8.35769736964889,6.487288700157947
839.627.541-64,Miguel Cunha,18,M,noah45@example.com,780,True,7.0,5.765174948988178,5.084688083171573,7.281135288721495
902.546.713-06,Sr. Ian Costela,28,M,tda-luz@example.org,681,True,6.0,7.163780005674948,7.2474760907086475,
129.603.578-68,Guilherme da Costa,23,M,evelynmartins@example.com,770,True,6.0,9.52401105282404,5.419016857243672,
573.261.804-07,Juan da Paz,22,M,alexandrepinto@example.com,748,False,,9.953178908656113,6.034136513904762,6.401759165097943
530.928.147-97,Cauã Araújo,21,M,marceloaragao@example.com,681,False,,7.461902859860622,5.8274117087375,9.590044522948405
208.943.517-88,Dra. Catarina Souza,25,F,jesusmilena@example.com,714,True,2.0,,,
120.587.963-30,Daniela Cunha,21,F,alexiadas-neves@example.com,772,False,,5.7488099010763545,6.166847648307775,8.848578054674915
107.963.248-40,Srta. Sophie Pinto,20,F,garaujo@example.net,721,True,3.0,7.781872844225447,,
962.074.581-76,Lívia Barros,27,F,bianca49@example.org,746,True,2.0,,,
281.395.607-40,Marcela Cunha,21,F,alicia64@example.net,783,False,,8.473577656255953,8.5345006340827,7.5234568695911594
974.310.586-75,Ana Carolina Viana,19,F,da-pazpietra@example.org,796,False,,9.437077715674215,9.559146751343407,9.581145367230613
164.085.739-75,Kaique Cavalcanti,26,M,novaesdavi@example.com,705,True,3.0,7.04359703915604,,
859.123.047-79,Mariane Castro,28,F,igor44@example.com,645,True,8.0,8.422238255505185,9.39918628238582,6.514788625278889
429.753.681-19,Sra. Kamilly Caldeira,25,F,xda-cruz@example.com,731,True,6.0,6.022964868404072,7.315274739618861,
