,Nome,Sexo,CPF,Idade,Email,Nota Enem,CRAs_2semestre,CRAs_4semestre,CRAs_6semestre
0,Fernanda Barros,Feminino,891.607.543-20,19,emanuel37@example.org,750,7.826502657329515,6.051516890325147,5.973080475676442
1,Vitor Gabriel Mendes,Masculino,451.938.067-75,23,cpeixoto@example.org,799,,,
2,Luiz Henrique Carvalho,Masculino,305.746.219-70,26,rda-cruz@example.org,726,8.442176098790707,6.375305698735708,8.247536763608295
3,Beatriz Duarte,Feminino,278.651.490-85,24,xnogueira@example.net,680,9.925279255600419,,
4,Dra. Clarice Gomes,Feminino,847.109.326-03,24,lararibeiro@example.net,739,7.956031628591689,9.741092122524547,9.73288977234221
5,Dr. Gabriel Barbosa,Masculino,406.387.291-22,19,leandro35@example.net,732,7.484048544045253,,
6,Antônio Silveira,Masculino,043.728.195-79,26,luiz-miguelgoncalves@example.org,702,5.551794384512392,,
7,Emanuella Freitas,Feminino,864.012.375-62,19,da-costaheloisa@example.net,795,5.369454097723741,5.149261566673779,9.550188935090688
8,Sr. Leonardo Alves,Masculino,105.493.267-07,21,pireslucas-gabriel@example.com,722,6.385438219841376,,
9,Rafaela da Luz,Feminino,823.071.946-22,18,theolopes@example.net,652,,,
10,Nathan da Mata,Masculino,932.657.480-65,24,da-cunhamaria-luiza@example.net,786,,,
11,Stella Jesus,Feminino,278.910.436-04,21,yda-mata@example.net,744,,,
12,Brenda Almeida,Feminino,821.059.736-12,18,diego55@example.com,749,5.300534126700978,,
13,Ana Beatriz da Rocha,Feminino,482.056.713-62,25,qda-cruz@example.com,648,6.848743405867994,8.700594902871789,6.215561671668912
14,Sr. Gustavo Henrique Nascimento,Masculino,095.621.347-25,24,raraujo@example.org,684,8.162428658888182,6.576118121932925,5.750114719800757
15,Stella Rezende,Feminino,395.108.624-60,27,tcardoso@example.net,706,6.128438267378549,5.148219010892988,9.36565966886145
16,Letícia Rodrigues,Feminino,863.725.490-00,18,isadora98@example.org,765,7.2476669583153726,,
17,Marcos Vinicius Moraes,Masculino,483.259.176-28,27,caroline94@example.net,759,5.381053641644876,7.648060160319553,8.318385599630968
18,Miguel Correia,Masculino,327.540.861-53,27,hnogueira@example.org,731,5.8781899552177865,,
19,Sarah Oliveira,Feminino,816.950.724-30,28,uribeiro@example.net,710,,,
20,Enzo Araújo,Masculino,309.284.671-04,27,yuridias@example.com,741,7.003102269183014,8.638831629976774,6.01263005525504
21,Julia da Costa,Feminino,305.927.864-47,23,vianamaria-cecilia@example.net,727,6.063452745732655,5.383694333493032,8.870464153751495
22,Carlos Eduardo Carvalho,Masculino,642.701.895-76,18,danielada-rocha@example.com,705,8.320214508557852,,
23,Dra. Nicole Pires,Feminino,167.093.452-70,26,isales@example.org,693,9.830431926785007,5.404531502406952,7.747918595571544
24,Kevin Cardoso,Masculino,854.062.731-08,19,jesusluiz-miguel@example.com,641,,,
25,Dr. Anthony da Conceição,Masculino,942.108.657-02,22,alexandre80@example.com,756,9.58737896444241,9.823045855596915,7.568097563853965
26,Luigi Vieira,Masculino,379.452.680-56,18,rezendecarlos-eduardo@example.com,665,9.292556815525243,,
