,NOME,CPF,IDADE,SEXO,E-MAIL,NOTA ENEM,CRA 2°,CRA 4°,CRA 6°,ABANDONO,SEMESTRE DE ABANDONO
0,Caio Aragão,472.960.385-00,26,F,lais80@example.net,661,7.327758776430619,,,True,7
1,Isabel Caldeira,219.547.836-55,26,F,emanuel04@example.org,760,6.522054204578959,,,True,4
2,Bianca da Paz,328.197.604-22,20,F,diogo62@example.net,785,6.413930542995349,,,True,4
3,Vitor Costa,570.984.162-58,27,M,eazevedo@example.net,738,7.749981400399671,,,True,6
4,Vitória Peixoto,098.247.561-67,20,F,salesjoaquim@example.com,694,7.968684730428316,6.7307333883737375,8.981180102896955,False,8
5,Ana Vitória Costela,530.718.296-12,23,M,benjamin29@example.com,646,6.387235298591844,5.594132502618744,6.279206010108563,False,8
6,Guilherme Almeida,594.078.613-84,18,F,rafaela63@example.com,774,7.511296122201173,,,True,4
7,Felipe da Luz,497.512.683-46,21,M,ysilveira@example.com,716,6.212064291370815,,,True,3
8,Ryan Nascimento,581.623.497-82,20,F,vsales@example.com,680,5.403547543367657,,,True,6
9,Dra. Valentina Ferreira,651.479.803-93,27,F,cardosoemanuella@example.com,713,6.232061717087957,8.5560808544025,6.591674297201494,False,8
10,Davi Lucas Nunes,816.293.405-70,26,F,da-rochaeloah@example.com,665,5.595392128664076,7.800343766408575,8.39007661896934,False,8
11,Gustavo Henrique Peixoto,926.471.830-31,19,M,samuel40@example.com,694,8.088828015276981,9.163166199879099,9.16136734362592,False,8
12,Sra. Isadora Alves,856.739.214-46,18,F,kalmeida@example.net,745,9.860082600619158,5.068668364561505,9.561473185100677,False,8
13,Letícia da Cunha,492.135.607-61,26,M,fariasemanuel@example.org,686,6.321549124602942,7.042342348575163,9.72603349104944,False,8
14,Thiago Santos,137.965.482-37,26,M,lda-conceicao@example.net,770,7.50642460839863,,,True,6
15,Sr. João Felipe Pereira,156.908.423-89,23,M,danilo09@example.net,730,7.317381237281235,8.056376299328676,6.4482700138915785,False,8
16,Enzo Gabriel Ramos,739.086.514-84,21,M,duartekevin@example.net,645,8.831406018882262,9.66263669579625,9.989510744214963,False,8
17,Luiz Fernando Moreira,946.530.712-25,23,M,ocardoso@example.org,738,6.685210342474601,5.8039581493388495,6.0020344701148804,False,8
18,Catarina Cardoso,209.678.534-00,19,F,novaesana-julia@example.org,776,5.662750411693757,5.350057827856094,5.306132567171594,False,8
19,Alexia Novaes,073.615.429-99,27,M,ybarros@example.org,773,5.674150398659873,7.183846168541208,8.290798646842125,False,8
20,Dr. Heitor Barros,359.861.724-00,18,F,marcos-vinicius06@example.net,749,,,,True,1
21,Melissa Nogueira,952.680.317-59,24,M,ycavalcanti@example.net,666,9.890261879117357,7.592448439099266,8.67973892266097,False,8
22,Sr. João Costa,812.073.956-68,24,M,jsantos@example.org,761,8.707358038760242,9.543532826232653,8.39783238430676,False,8
23,Ana Sophia Rodrigues,021.378.456-44,22,F,saraujo@example.com,786,9.380320243317467,,,True,4
24,Davi Viana,965.412.870-58,23,M,plopes@example.net,711,,,,True,2
25,Maria Julia Alves,672.450.931-99,25,F,srocha@example.org,646,9.513314992756865,5.242000428954423,5.964998254910438,False,8
26,Sr. Caio da Cunha,628.314.750-07,22,F,das-nevesalexandre@example.com,717,9.784020148464188,,,True,7
27,Luiza Jesus,580.976.231-02,20,M,nascimentosophie@example.net,720,,,,True,2
28,Maria Clara Pires,389.162.504-98,25,F,vnovaes@example.com,781,,,,True,1
29,Ana Sophia Silva,617.423.908-03,21,M,koliveira@example.net,741,5.488325641757725,5.113963497657626,8.133423969275276,False,8
30,Sofia Correia,248.079.351-60,24,M,da-motamatheus@example.org,642,8.50762528199066,6.664292753385963,8.030511968750334,False,8
31,Maria Julia Novaes,490.265.317-61,24,M,jmoreira@example.com,741,6.6409589090980585,,,True,4
32,Júlia das Neves,293.615.078-77,23,M,marcos-viniciuscardoso@example.org,753,9.846918617281126,5.56040433301556,6.787548334217512,False,8
33,Kevin Araújo,769.135.824-55,18,M,silvahenrique@example.net,671,7.094623468367315,,,True,3
34,Bryan Oliveira,657.029.413-06,21,F,giovanna04@example.net,696,7.636606475997452,,,True,5
35,Dra. Beatriz Silveira,987.306.254-83,19,M,jsouza@example.net,681,5.422522557041959,,,True,5
36,Isis Lopes,578.304.192-05,20,F,emanuel00@example.net,706,7.904508179822723,7.961308832095283,8.73878762444544,False,8
37,Bianca Martins,460.857.213-07,25,M,wda-costa@example.org,723,,,,True,2
38,Gustavo Lopes,460.572.981-01,25,F,santosmatheus@example.net,717,6.814145052526403,7.558303628342431,7.253306482061456,False,8
39,Dr. Eduardo Souza,152.834.760-90,20,F,maria-sophia20@example.org,706,9.281629578084418,,,True,3
40,Enzo Lopes,820.519.736-95,25,F,isisbarbosa@example.org,681,,,,True,2
41,Agatha Barros,096.821.375-86,19,M,wfernandes@example.org,768,8.9914731639184,7.993949688645555,8.439408929311488,False,8
42,João Gabriel Freitas,694.387.015-75,19,F,thales94@example.com,737,8.631909141034948,9.516780248402757,8.575646103727305,False,8
43,Thomas Melo,459.186.703-00,18,M,martinsmaria-vitoria@example.net,661,7.8781601919014745,,,True,6
44,Sr. Augusto Duarte,192.304.685-33,22,F,gomessarah@example.com,792,8.286880925051149,9.194586958321755,5.063194360467558,False,8
45,Srta. Elisa Teixeira,536.024.819-05,23,M,caua48@example.com,797,,,,True,2
46,Raul Alves,615.908.432-15,20,M,yagoaraujo@example.org,657,,,,True,1
47,João Alves,158.934.726-91,18,F,leandrofogaca@example.org,752,9.01297116013216,,,True,7
48,Maria Cecília Fernandes,163.857.024-80,21,F,nda-cunha@example.com,762,5.8776917938894515,8.073219742911231,5.374510125358766,False,8
49,Isabelly Gomes,875.609.312-86,26,M,joao-gabriel80@example.net,689,7.103632897373208,7.364290729345017,8.845726730170622,False,8
50,Kaique Cardoso,976.482.103-04,25,M,ian23@example.org,709,9.79807221132877,6.307222141412639,7.585459883397749,False,8
51,Natália Santos,239.560.817-30,26,M,das-nevesclara@example.net,674,8.40657578862514,,,True,4
